wave,id,age,gender,ambition,ambition_1,ambition_2,ambition_3,ambition_4,ambition_5,ambition_6,ambition_7,motivation_to_lead,mtl_1,mtl_2,mtl_3,mtl_4,mtl_5,mtl_6,mtl_7,mtl_8,drive_to_achieve,extra,leader_ability,self,others,direct_reports,managers,peers
1,101,34,1,6.285714285714286,6,5,6,7,7,6,7,6.625,6,7,7,7,6,7,7,6,NA,NA,NA,5.32,6.1694921312932705,6.389387755102041,5.844444444444444,6.0579457364341085
1,102,NA,2,5.571428571428571,6,5,5,6,6,5,6,5.375,6,6,3,6,6,5,5,6,NA,NA,NA,5.38,5.9649135817117545,6.519102990033223,6.6875,5.354591836734694
1,103,43,2,6.428571428571429,6,7,6,7,7,5,7,6.375,6,7,7,6,7,6,6,6,NA,NA,NA,6.26,5.464820878985012,5.322585034013605,5.212727272727273,5.697544565842438
1,104,51,1,5.285714285714286,5,5,7,5,6,3,6,3.125,3,2,3,2,6,3,2,4,NA,NA,NA,5.510204081632653,5.655413832199546,6.44,5.06,5.60812074829932
1,105,53,2,6,5,5,7,6,7,5,7,4.875,5,7,2,6,2,5,6,6,NA,NA,NA,5.9,6.1610422401518745,NA,5.826326530612245,6.384186046511628
1,106,39,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,6.22,6.204897959183674,NA,5.510204081632653,6.436462585034014
1,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.625,7,7,7,7,4,7,7,7,NA,NA,NA,5.1,6.229091939806225,6.6938775510204085,5.85,6.326891362605648
1,108,50,2,2.2857142857142856,1,2,2,2,1,2,6,6.125,6,7,6,7,5,6,6,6,NA,NA,NA,5.96,5.511428571428572,6.12,5.27,4.84
1,109,48,1,4.428571428571429,2,7,2,7,4,2,7,4.25,3,7,5,3,5,2,6,3,NA,NA,NA,5.78,5.516595744680851,5.32,6.1063829787234045,NA
1,110,43,1,6.428571428571429,7,7,6,6,6,6,7,4.5,5,4,5,5,4,4,5,4,NA,NA,NA,5.5,5.711166989039329,5.78822695035461,5.795454545454546,5.5534332688588
1,111,35,1,6.714285714285714,7,7,6,7,7,6,7,4.75,4,6,5,6,6,6,3,2,NA,NA,NA,5.680851063829787,6.011115483427414,NA,6.604166666666667,5.8134317556809965
1,112,45,2,6.142857142857143,4,7,6,7,7,5,7,4,2,6,5,2,5,4,6,2,NA,NA,NA,5.4,6.095000000000001,6.130000000000001,5.92,6.2
1,113,34,2,6.571428571428571,7,7,7,6,6,7,6,5.25,6,7,4,5,6,6,3,5,NA,NA,NA,5.3,6.097852663016426,NA,4.595238095238095,6.473506304961009
1,114,34,1,4.714285714285714,5,2,5,6,5,3,7,4.375,4,7,6,1,4,4,5,4,NA,NA,NA,5.5,5.796064914337828,NA,5.074705882352941,6.084608527131783
1,115,35,2,6.142857142857143,5,7,5,7,7,5,7,5.75,7,6,7,4,6,4,6,6,NA,NA,NA,6.38,5.779999999999999,NA,5.17,6.39
1,116,NA,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,6.64,6.1848809523809525,6.347083333333334,6.06,6.16
1,117,48,1,6.285714285714286,6,7,6,7,7,5,6,6.125,7,7,6,2,6,7,7,7,NA,NA,NA,5.48,5.710223922902494,6.081420068027211,5.68,5.472834467120181
1,118,40,1,6.285714285714286,7,7,4,6,7,6,7,6.125,7,6,6,6,7,6,6,5,NA,NA,NA,4.73469387755102,5.1394315245478035,NA,5.511627906976744,4.953333333333333
1,119,32,1,6.285714285714286,5,7,7,7,5,7,6,4.125,3,4,5,5,5,3,5,3,NA,NA,NA,5.32,5.7921237549943285,6.92,5.350972947318462,5.7102655451096815
1,120,50,1,3.7142857142857144,2,5,4,3,5,2,5,5,4,6,6,5,4,4,6,5,NA,NA,NA,4.56,5.99034043234932,6.070869300911855,6.36,5.886525570702589
1,121,47,1,5.428571428571429,4,5,6,6,6,5,6,5.125,6,6,5,3,6,5,5,5,NA,NA,NA,6,6.405230536659108,6.786666666666667,6.03,6.146802721088435
